timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597188450226,124,HomePage,200,OK,Thread Group 1-9,text,true,,15067,116,12,12,http://127.0.0.1:4000/,116,0,74
1597188450226,139,HomePage,200,OK,Thread Group 1-4,text,true,,15067,116,12,12,http://127.0.0.1:4000/,139,0,74
1597188450226,168,HomePage,200,OK,Thread Group 1-7,text,true,,15067,116,13,13,http://127.0.0.1:4000/,168,0,74
1597188450229,167,HomePage,200,OK,Thread Group 1-10,text,true,,15067,116,13,13,http://127.0.0.1:4000/,167,0,71
1597188450270,146,HomePage,200,OK,Thread Group 1-11,text,true,,15067,116,13,13,http://127.0.0.1:4000/,146,0,30
1597188450226,190,HomePage,200,OK,Thread Group 1-8,text,true,,15067,116,13,13,http://127.0.0.1:4000/,190,0,74
1597188450226,204,HomePage,200,OK,Thread Group 1-3,text,true,,15067,116,14,14,http://127.0.0.1:4000/,204,0,74
1597188450226,216,HomePage,200,OK,Thread Group 1-5,text,true,,15067,116,14,14,http://127.0.0.1:4000/,215,0,75
1597188450226,224,HomePage,200,OK,Thread Group 1-1,text,true,,15067,116,14,14,http://127.0.0.1:4000/,223,0,75
1597188450227,236,HomePage,200,OK,Thread Group 1-6,text,true,,15067,116,15,15,http://127.0.0.1:4000/,235,0,74
1597188450227,250,HomePage,200,OK,Thread Group 1-2,text,true,,15067,116,15,15,http://127.0.0.1:4000/,249,0,75
1597188450317,211,HomePage,200,OK,Thread Group 1-12,text,true,,15067,116,16,16,http://127.0.0.1:4000/,211,0,2
1597188450358,190,HomePage,200,OK,Thread Group 1-9,text,true,,15067,116,16,16,http://127.0.0.1:4000/,190,0,1
1597188450367,191,HomePage,200,OK,Thread Group 1-4,text,true,,15067,116,15,15,http://127.0.0.1:4000/,191,0,1
1597188450379,188,HomePage,200,OK,Thread Group 1-13,text,true,,15067,116,14,14,http://127.0.0.1:4000/,188,0,2
